,airport_id,city,state,name
273,14583,Koror,Palau,Babelthuap
274,10732,Aguadilla,PR,Rafael Hernandez
275,13176,Mayaguez,PR,Eugenio Maria de Hostos
276,14254,Ponce,PR,Mercedita
277,14843,San Juan,PR,Luis Munoz Marin International
278,14307,Providence,RI,Theodore Francis Green State
279,10994,Charleston,SC,Charleston AFB/International
280,10868,Columbia,SC,Columbia Metropolitan
281,11699,Florence,SC,Florence Regional
282,11996,Greer,SC,Greenville-Spartanburg International
283,12124,Hilton Head,SC,Hilton Head Airport
284,13577,Myrtle Beach,SC,Myrtle Beach International
285,10141,Aberdeen,SD,Aberdeen Regional
286,14120,Pierre,SD,Pierre Regional
287,14457,Rapid City,SD,Rapid City Regional
288,11775,Sioux Falls,SD,Joe Foss Field
289,15323,Bristol/Johnson City/Kingsport,TN,Tri-Cities Regional TN/VA
290,10980,Chattanooga,TN,Lovell Field
291,15412,Knoxville,TN,McGhee Tyson
292,13244,Memphis,TN,Memphis International
293,10693,Nashville,TN,Nashville International
294,12016,Guam,TT,Guam International
295,14582,Rota,TT,Rota International
296,14955,Saipan,TT,Francisco C. Ada Saipan International
297,10136,Abilene,TX,Abilene Regional
298,10279,Amarillo,TX,Rick Husband Amarillo International
299,10423,Austin,TX,Austin - Bergstrom International
300,16440,Austin,TX,Robert Mueller Municipal
301,10728,Beaumont/Port Arthur,TX,Jack Brooks Regional
302,10747,Brownsville,TX,Brownsville South Padre Island International
303,11049,College Station/Bryan,TX,Easterwood Field
304,11140,Corpus Christi,TX,Corpus Christi International
305,11259,Dallas,TX,Dallas Love Field
306,11298,Dallas/Fort Worth,TX,Dallas/Fort Worth International
307,11415,Del Rio,TX,Del Rio International
308,11540,El Paso,TX,El Paso International
309,12206,Harlingen/San Benito,TX,Valley International
310,11495,Houston,TX,Ellington Field
311,12266,Houston,TX,George Bush Intercontinental/Houston
312,12191,Houston,TX,William P Hobby
313,11982,Killeen,TX,Robert Gray AAF
314,12319,Killeen,TX,Skylark Field
315,13061,Laredo,TX,Laredo International
316,11905,Longview,TX,East Texas Regional
317,12896,Lubbock,TX,Lubbock Preston Smith International
318,13158,Midland/Odessa,TX,Midland International
319,13256,Mission/McAllen/Edinburg,TX,McAllen Miller International
320,14842,San Angelo,TX,San Angelo Regional/Mathis Field
321,14683,San Antonio,TX,San Antonio International
